motif	HGNC	sub_cluster
AP2A.H13CORE.0.PSM.A	TFAP2A	1
AP2B.H13CORE.0.SM.B	TFAP2B	2
AP2C.H13CORE.0.PSM.A	TFAP2C	3
AP2E.H13CORE.0.SM.B	TFAP2E	4
ARI1A.H13CORE.0.P.C	ARID1A	5
ATF4.H13CORE.0.P.B	ATF4	6
ATF4.H13CORE.1.S.B	ATF4	7
ATF4.H13CORE.2.SM.B	ATF4	8
BATF.H13CORE.0.P.B	BATF	9
BATF.H13CORE.1.P.B	BATF	10
BATF2.H13CORE.0.PSG.A	BATF2	11
BATF3.H13CORE.0.P.B	BATF3	12
BATF3.H13CORE.1.P.B	BATF3	13
BATF3.H13CORE.2.SM.B	BATF3	14
FAM200B.H13CORE.0.PSGIB.A	FAM200B	15
ZBED1.H13CORE.0.S.B	ZBED1	16
ZBED2.H13CORE.0.PSGIB.A	ZBED2	17
ZBED4.H13CORE.0.SGIB.A	ZBED4	18
ZBED5.H13CORE.0.PSGIB.A	ZBED5	19
ZFTA.H13CORE.0.PSGIB.A	ZFTA	20
NACC2.H13CORE.0.PSGIB.A	NACC2	21
MAD4.H13CORE.0.P.C	MXD4	22
MAX.H13CORE.0.PS.A	MAX	23
MAX.H13CORE.1.M.C	MAX	24
MAX.H13CORE.2.S.C	MAX	25
MGA.H13CORE.0.PSG.A	MGA	26
MGAP.H13CORE.0.P.C	MGA	27
MGAP.H13CORE.1.S.B	MGA	28
MITF.H13CORE.0.P.B	MITF	29
MLX.H13CORE.0.PM.A	MLX	30
MLX.H13CORE.1.SM.B	MLX	31
MLXPL.H13CORE.0.S.B	MLXIPL	32
MNT.H13CORE.0.PS.A	MNT	33
MXI1.H13CORE.0.P.B	MXI1	34
MYC.H13CORE.0.P.B	MYC	35
MYCN.H13CORE.0.PS.A	MYCN	36
MYCN.H13CORE.1.M.C	MYCN	37
SRBP1.H13CORE.0.P.B	SREBF1	38
SRBP1.H13CORE.1.S.C	SREBF1	39
SRBP2.H13CORE.0.S.B	SREBF2	40
SRBP2.H13CORE.1.P.B	SREBF2	41
SRBP2.H13CORE.2.M.C	SREBF2	42
TFAP4.H13CORE.0.PSM.A	TFAP4	43
TFE3.H13CORE.0.PSM.A	TFE3	44
TFEB.H13CORE.0.SM.B	TFEB	45
TFEB.H13CORE.1.P.C	TFEB	46
TFEC.H13CORE.0.M.B	TFEC	47
TFEC.H13CORE.1.SM.B	TFEC	48
USF1.H13CORE.0.PSM.A	USF1	49
USF2.H13CORE.0.PSM.A	USF2	50
USF3.H13CORE.0.PSGIB.A	USF3	51
TBX19.H13CORE.0.PS.A	TBX19	52
TBX19.H13CORE.1.SM.B	TBX19	53
TBXT.H13CORE.0.PS.A	TBXT	54
TBXT.H13CORE.1.PSM.A	TBXT	55
POGK.H13CORE.0.SI.A	POGK	56
GATA1.H13CORE.0.P.B	GATA1	57
GATA1.H13CORE.1.PSM.A	GATA1	58
GATA2.H13CORE.0.PSM.A	GATA2	59
GATA2.H13CORE.1.P.B	GATA2	60
GATA3.H13CORE.0.PS.A	GATA3	61
GATA3.H13CORE.1.SM.B	GATA3	62
GATA4.H13CORE.0.PSM.A	GATA4	63
GATA5.H13CORE.0.SM.B	GATA5	64
GATA6.H13CORE.0.PSM.A	GATA6	65
GATAD2A.H13CORE.0.SG.A	GATAD2A	66
TRPS1.H13CORE.0.P.B	TRPS1	67
ZGLP1.H13CORE.0.SGB.A	ZGLP1	68
CEBPA.H13CORE.0.P.B	CEBPA	69
CEBPB.H13CORE.0.P.B	CEBPB	70
CEBPB.H13CORE.1.SM.B	CEBPB	71
CEBPD.H13CORE.0.P.B	CEBPD	72
CEBPD.H13CORE.1.SM.B	CEBPD	73
CEBPE.H13CORE.0.P.B	CEBPE	74
CEBPE.H13CORE.1.SM.B	CEBPE	75
CEBPG.H13CORE.0.P.B	CEBPG	76
CEBPG.H13CORE.1.SM.B	CEBPG	77
CEBPG.H13CORE.2.P.B	CEBPG	78
DBP.H13CORE.0.SM.B	DBP	79
DDIT3.H13CORE.0.P.B	DDIT3	80
HLF.H13CORE.0.P.B	HLF	81
HLF.H13CORE.1.SM.B	HLF	82
NFIL3.H13CORE.0.P.B	NFIL3	83
NFIL3.H13CORE.1.S.B	NFIL3	84
TEF.H13CORE.0.SM.B	TEF	85
CAMTA1.H13CORE.0.PSGI.A	CAMTA1	86
CAMTA2.H13CORE.0.PSGI.A	CAMTA2	87
CENPB.H13CORE.0.S.B	CENPB	88
JRK.H13CORE.0.PSGB.A	JRK	89
TIGD3.H13CORE.0.PSGIB.A	TIGD3	90
TIGD4.H13CORE.0.PSGI.A	TIGD4	91
TIGD5.H13CORE.0.SGI.A	TIGD5	92
TIGD7.H13CORE.0.SGIB.A	TIGD7	93
TF2L1.H13CORE.0.PSM.A	TFCP2L1	94
TF2L1.H13CORE.1.P.B	TFCP2L1	95
TFCP2.H13CORE.0.SM.B	TFCP2	96
TFCP2.H13CORE.1.SM.B	TFCP2	97
TFCP2.H13CORE.2.S.C	TFCP2	98
UBIP1.H13CORE.0.SM.B	UBP1	99
CXXC4.H13CORE.0.PSGIB.A	CXXC4	100
FBXL19.H13CORE.0.PSGIB.A	FBXL19	101
KDM2A.H13CORE.0.PSGB.A	KDM2A	102
KMT2A.H13CORE.0.P.B	KMT2A	103
KMT2B.H13CORE.0.P.B	KMT2B	104
MBD1.H13CORE.0.PSIB.A	MBD1	105
TET3.H13CORE.0.PSGIB.A	TET3	106
ATF1.H13CORE.0.P.B	ATF1	107
ATF1.H13CORE.1.P.B	ATF1	108
ATF6A.H13CORE.0.SM.B	ATF6	109
ATF6B.H13CORE.0.SM.B	ATF6B	110
CR3L1.H13CORE.0.PSM.A	CREB3L1	111
CR3L2.H13CORE.0.PS.A	CREB3L2	112
CR3L4.H13CORE.0.M.C	CREB3L4	113
CR3L4.H13CORE.1.S.C	CREB3L4	114
CREB1.H13CORE.0.PSM.A	CREB1	115
CREB3.H13CORE.0.SM.B	CREB3	116
CREB3L3.H13CORE.0.PSGIB.A	CREB3L3	117
CREM.H13CORE.0.PSM.A	CREM	118
CREM.H13CORE.1.P.C	CREM	119
SUH.H13CORE.0.P.B	RBPJ	120
YBOX1.H13CORE.0.SM.B	YBX1	121
DMRT1.H13CORE.0.PS.A	DMRT1	122
DMRT1.H13CORE.1.M.C	DMRT1	123
DMRT3.H13CORE.0.S.C	DMRT3	124
DMRTA.H13CORE.0.SM.B	DMRTA1	125
DMRTB.H13CORE.0.P.C	DMRTB1	126
DMRTD.H13CORE.0.SM.B	DMRTC2	127
DMTA2.H13CORE.0.SM.B	DMRTA2	128
HTF4.H13CORE.0.PSM.A	TCF12	129
ITF2.H13CORE.0.S.B	TCF4	130
ITF2.H13CORE.1.PSM.A	TCF4	131
TFE2.H13CORE.0.PS.A	TCF3	132
E2F1.H13CORE.0.P.B	E2F1	133
E2F1.H13CORE.1.S.B	E2F1	134
E2F2.H13CORE.0.S.B	E2F2	135
E2F3.H13CORE.0.P.B	E2F3	136
E2F3.H13CORE.1.SM.B	E2F3	137
E2F4.H13CORE.0.P.B	E2F4	138
E2F4.H13CORE.1.P.B	E2F4	139
E2F4.H13CORE.2.S.B	E2F4	140
E2F6.H13CORE.0.P.B	E2F6	141
E2F7.H13CORE.0.S.C	E2F7	142
E2F7.H13CORE.1.P.B	E2F7	143
E2F8.H13CORE.0.P.C	E2F8	144
E2F8.H13CORE.1.SM.B	E2F8	145
TFDP1.H13CORE.0.P.B	TFDP1	146
COE1.H13CORE.0.P.B	EBF1	147
COE2.H13CORE.0.P.B	EBF2	148
COE3.H13CORE.0.P.B	EBF3	149
EHF.H13CORE.0.P.B	EHF	150
ELF1.H13CORE.0.PSM.A	ELF1	151
ELF2.H13CORE.0.PS.A	ELF2	152
ELF2.H13CORE.1.M.B	ELF2	153
ELF3.H13CORE.0.S.B	ELF3	154
ELF3.H13CORE.1.PM.A	ELF3	155
ELF4.H13CORE.0.PS.A	ELF4	156
ELF4.H13CORE.1.M.B	ELF4	157
ELF5.H13CORE.0.PSM.A	ELF5	158
ELF5.H13CORE.1.S.B	ELF5	159
ELK1.H13CORE.0.PSM.A	ELK1	160
ELK3.H13CORE.0.PSM.A	ELK3	161
ELK4.H13CORE.0.PSM.A	ELK4	162
ERF.H13CORE.0.PS.A	ERF	163
ERG.H13CORE.0.P.B	ERG	164
ERG.H13CORE.1.SM.B	ERG	165
ETS1.H13CORE.0.S.B	ETS1	166
ETS1.H13CORE.1.P.B	ETS1	167
ETS2.H13CORE.0.S.C	ETS2	168
ETS2.H13CORE.1.P.B	ETS2	169
ETV1.H13CORE.0.PSM.A	ETV1	170
ETV1.H13CORE.1.PM.A	ETV1	171
ETV2.H13CORE.0.S.B	ETV2	172
ETV2.H13CORE.1.PM.A	ETV2	173
ETV3.H13CORE.0.SM.B	ETV3	174
ETV4.H13CORE.0.P.B	ETV4	175
ETV4.H13CORE.1.SM.B	ETV4	176
ETV5.H13CORE.0.PS.A	ETV5	177
ETV5.H13CORE.1.PM.A	ETV5	178
ETV6.H13CORE.0.PS.A	ETV6	179
ETV6.H13CORE.1.P.B	ETV6	180
