motif	cluster	HGNC
Arnt_MA0004.1	C_Mlxip	ARNT
PAX6_MA0069.1	C_PAX6	PAX6
RORA_MA0071.1	C_RORA	RORA
RXRAVDR_MA0074.1	C_RXRA::VDR	RXRA::VDR
REL_MA0101.1	C_REL	REL
RELA_MA0107.1	C_REL	RELA
NR1H2RXRA_MA0115.1	C_NR1H2::RXRA	NR1H2::RXRA
Znf423_MA0116.1	C_Znf423	ZNF423
NFICTLX1_MA0119.1	C_NFIB	NFIC::TLX1
ZNF354C_MA0130.1	C_ZNF354C	ZNF354C
Pou5f1Sox2_MA0142.1	C_Pou5f1::Sox2	POU5F1::SOX2
EWSR1-FLI1_MA0149.1	C_EWSR1-FLI1	EWSR1::FLI1
Arid3a_MA0151.1	C_Arid3a	ARID3A
INSM1_MA0155.1	C_INSM1	INSM1
RARARXRA_MA0159.1	C_RARA::RXRA	RARA::RXRA
PLAG1_MA0163.1	C_PLAG1	PLAG1
Tfcp2l1_MA0145.2	C_Tfcp2l1	TFCP2L1
DUX4_MA0468.1	C_DUX4	DUX4
Sox6_MA0515.1	C_Sox6	SOX6
ESR2_MA0258.2	C_ESR2	ESR2
SREBF1_MA0595.1	C_SREBF1	SREBF1
SREBF2_MA0596.1	C_SREBF1	SREBF2
KLF5_MA0599.1	C_KLF5	KLF5
Atf1_MA0604.1	C_FOSL1::JUND	ATF1
Creb3l2_MA0608.1	C_Creb3l2	CREB3L2
FOXG1_MA0613.1	C_FOXP4	FOXG1
Foxj2_MA0614.1	C_FOXP4	FOXJ2
BHLHE41_MA0636.1	C_BHLHE41	BHLHE41
ELF4_MA0641.1	C_ELF2	ELF4
FOXI1_MA0042.2	C_FOXP4	FOXI1
FOXL1_MA0033.2	C_FOXP4	FOXL1
HNF1B_MA0153.2	C_HNF1A	HNF1B
HSF1_MA0486.2	C_HSF2	HSF1
IRF9_MA0653.1	C_STAT1::STAT2	IRF9
JDP2_MA0655.1	C_FOS::JUND	JDP2
MEF2B_MA0660.1	C_MEF2D	MEF2B
MLX_MA0663.1	C_ARNT2	MLX
MSC_MA0665.1	C_Tcf21	MSC
MYF6_MA0667.1	C_MYF6	MYF6
NEUROG2_MA0669.1	C_NEUROG2	NEUROG2
Nr2e1_MA0676.1	C_Nr2e1	NR2E1
OLIG2_MA0678.1	C_ATOH7	OLIG2
PAX4_MA0068.2	C_mix-a	PAX4
Rxra_MA0512.2	C_Nr2f6	RXRA
SRF_MA0083.3	C_SRF	SRF
TBXT_MA0009.2	C_TBX19	TBXT
TBX20_MA0689.1	C_TBX20	TBX20
TFAP4_MA0691.1	C_TFAP4	TFAP4
ZIC1_MA0696.1	C_ZIC1	ZIC1
PHOX2A_MA0713.1	C_PHOX2A	PHOX2A
PROP1_MA0715.1	C_PHOX2A	PROP1
VENTX_MA0724.1	C_VENTX	VENTX
Nr2F6_MA0728.1	C_Rarb	NR2F6
RARA_MA0729.1	C_RARA	RARA
RARA_MA0730.1	C_Rarb	RARA
BCL6B_MA0731.1	C_BCL6B	BCL6B
EGR2_MA0472.2	C_EGR1	EGR2
GLIS2_MA0736.1	C_GLIS2	GLIS2
GLIS3_MA0737.1	C_GLIS3	GLIS3
KLF16_MA0741.1	C_SP3	KLF16
ZNF143_MA0088.2	C_ZNF143	ZNF143
E2F7_MA0758.1	C_E2F7	E2F7
HSF2_MA0770.1	C_HSF2	HSF2
HSF4_MA0771.1	C_HSF2	HSF4
MEF2D_MA0773.1	C_MEF2D	MEF2D
MEIS2_MA0774.1	C_MEIS1	MEIS2
MYBL1_MA0776.1	C_MYBL1	MYBL1
MYBL2_MA0777.1	C_MYBL2	MYBL2
NFKB1_MA0105.4	C_NFKB2	NFKB1
PAX3_MA0780.1	C_Pax7	PAX3
PKNOX2_MA0783.1	C_PKNOX2	PKNOX2
POU3F2_MA0787.1	C_POU3F3	POU3F2
POU3F3_MA0788.1	C_POU3F3	POU3F3
